time,flux,flux_err,phase,norm_flux,norm_flux_err
58233.039291,13357.991406,16.716003,28.137503313427178,0.5981670865641908,0.00830009870603616
58233.059725,13379.788086,16.723244,28.15741700840305,0.6089899247429047,0.008303694123836122
58233.080158,13378.341225,16.720967,28.177329728841308,0.6082715060447317,0.008302563511167912
58233.100592,13352.279191,16.710305,28.197243423824272,0.5953307656847261,0.008297269443417162
58233.121026,13365.622749,16.715366,28.217157118800145,0.6019563237496368,0.00829978241254927
58233.141459,13368.38121,16.71836,28.2370698392384,0.6033259991784308,0.008301269041591265
58233.161893,13340.728971,16.704846,28.256983534214275,0.5895956646515169,0.008294558852922755
58233.182327,13375.854727,16.722548,28.27689722919724,0.6070368700595404,0.008303348534720147
58233.20276,13349.402446,16.710735,28.296809949635495,0.5939023579815154,0.008297482953934215
58233.223194,13386.564209,16.725689,28.31672364461137,0.6123545143367352,0.008304908154566809
58233.243627,13373.279815,16.718278,28.336636365056712,0.6057583333328267,0.0083012283256322
58233.264061,13383.769367,16.720705,28.35655006003259,0.6109667744285903,0.008302433418713335
58233.284495,13365.365496,16.717785,28.376463755008462,0.6018285883518613,0.008300983533341716
58233.304928,13346.410728,16.707872,28.39637647544672,0.5924168620348695,0.008296061371119507
58233.325362,13363.17889,16.711328,28.416290170429683,0.6007428595666235,0.008297777399833315
58233.345795,13363.672738,16.714699,28.436202890867936,0.6009880729197068,0.008299451222979794
58233.366229,13396.351795,16.729152,28.456116585843812,0.6172144039822336,0.008306627659033217
58233.386663,13358.030053,16.715942,28.476030280819685,0.5981862761943137,0.008300068417334903
58233.407096,13376.776855,16.718849,28.49594300126503,0.6074947398876089,0.008301511847737402
58233.42753,13362.482347,16.715284,28.515856696240906,0.600397000831554,0.008299741696590205
58233.447963,13377.978772,16.716291,28.53576941667916,0.608091535050691,0.008300241708428977
58233.468397,13361.393818,16.71072,28.555683111655036,0.5998565069022114,0.008297475505892922
58233.488831,13372.694455,16.715532,28.575596806638,0.6054676809694264,0.008299864837539575
58233.509264,13366.800064,16.715605,28.595509527076253,0.6025409031319262,0.008299901084673865
58233.529698,13377.942341,16.715552,28.61542322205213,0.6080734457445355,0.008299874768261297
58233.550130999996,13366.484825,16.709834,28.635335942490382,0.6023843755926581,0.008297035574920574
58233.570565,13374.185819,16.716098,28.655249637473347,0.6062081970130418,0.008300145876964347
58233.590999,13356.394048,16.711943,28.675163332449223,0.597373940674658,0.008298082769526309
58233.611432,13354.100398,16.705031,28.695076052887476,0.596235060680613,0.008294650712098698
58233.631866,13356.293174,16.703463,28.71498974787044,0.5973238530935018,0.008293872143515582
58233.652299,13372.901688,16.712201,28.734902468308697,0.6055705796321713,0.00829821087583654
58233.672733,13376.320693,16.716562,28.75481616328457,0.6072682389934689,0.00830037626970833
58233.693167,13371.692281,16.712434,28.774729858260446,0.6049700654138038,0.008298326568744617
58233.7136,13369.432754,16.711523,28.79464257870579,0.603848128720627,0.008297874224370116
58233.734034,13370.938961,16.710458,28.814556273681664,0.6045960148493699,0.008297345413438345
